metric,value,numerator,denominator,percent,note
clinvar_plp_variants_in_vital_table,300.0,300,300,100.0,"All P/LP variants carried through VITAL, including explicit no-frequency-evidence rows."
exact_af_covered_clinvar_plp_variants,120.0,120,300,40.0,Variants with observed exact gnomAD AF used for continuous VITAL scoring.
no_gnomad_frequency_evidence_variants,178.0,178,300,59.333333333333336,No AF imputation is applied; these variants retain NaN frequency fields and gray VITAL band.
allele_discordance_no_exact_af_variants,0.0,0,300,0.0,ClinVar/gnomAD allele mismatch rows kept outside frequency scoring.
gnomad_query_error_no_frequency_evidence_variants,2.0,2,300,0.6666666666666666,Transient gnomAD query failures are flagged separately and kept outside frequency scoring.
standard_popmax_or_global_af_gt_1e_5_flags,76.0,76,300,25.333333333333332,Naive frequency-only ACMG-style contradiction screen.
standard_popmax_or_global_af_gt_1e_4_flags,13.0,13,300,4.333333333333333,High-frequency subset of the naive screen.
global_af_gt_1e_5_flags,19.0,19,300,6.333333333333333,Flags found by global AF alone.
popmax_af_gt_1e_5_flags,76.0,76,300,25.333333333333332,Flags found when population maximum AF is considered.
global_af_gt_1e_4_flags,0.0,0,300,0.0,High-frequency flags found by global AF alone.
popmax_af_gt_1e_4_flags,13.0,13,300,4.333333333333333,High-frequency flags found when population maximum AF is considered.
ac_supported_frequency_flags,16.0,16,300,5.333333333333333,Frequency signal has AC >= 20 in global or popmax source.
vital_red_reclassification_predictions,0.0,0,300,0.0,"VITAL >= 70, weak review, and AC-supported frequency signal."
alert_reduction_vs_standard_frequency_screen_percent,100.0,0,76,100.0,Reduction in action-priority calls versus a naive AF > 1e-5 frequency screen.
vital_band_blue_low_support_signal,62.0,62,300,20.666666666666668,VITAL score band count.
vital_band_gray_no_frequency_evidence,180.0,180,300,60.0,VITAL score band count.
vital_band_green_frequency_consistent,44.0,44,300,14.666666666666666,VITAL score band count.
vital_band_orange_high_tension,3.0,3,300,1.0,VITAL score band count.
vital_band_yellow_watchlist,11.0,11,300,3.6666666666666665,VITAL score band count.
