metric,value,numerator,denominator,percent,note
clinvar_plp_variants_in_vital_table,500.0,500,500,100.0,"All P/LP variants carried through VITAL, including explicit no-frequency-evidence rows."
exact_af_covered_clinvar_plp_variants,167.0,167,500,33.4,Variants with observed exact gnomAD AF used for continuous VITAL scoring.
no_gnomad_frequency_evidence_variants,326.0,326,500,65.2,No AF imputation is applied; these variants retain NaN frequency fields and gray VITAL band.
allele_discordance_no_exact_af_variants,0.0,0,500,0.0,ClinVar/gnomAD allele mismatch rows kept outside frequency scoring.
gnomad_query_error_no_frequency_evidence_variants,7.0,7,500,1.4,Transient gnomAD query failures are flagged separately and kept outside frequency scoring.
standard_popmax_or_global_af_gt_1e_5_flags,94.0,94,500,18.8,Naive frequency-only ACMG-style contradiction screen.
standard_popmax_or_global_af_gt_1e_4_flags,19.0,19,500,3.8,High-frequency subset of the naive screen.
global_af_gt_1e_5_flags,31.0,31,500,6.2,Flags found by global AF alone.
popmax_af_gt_1e_5_flags,93.0,93,500,18.6,Flags found when population maximum AF is considered.
global_af_gt_1e_4_flags,2.0,2,500,0.4,High-frequency flags found by global AF alone.
popmax_af_gt_1e_4_flags,19.0,19,500,3.8,High-frequency flags found when population maximum AF is considered.
ac_supported_frequency_flags,20.0,20,500,4.0,Frequency signal has AC >= 20 in global or popmax source.
vital_red_reclassification_predictions,0.0,0,500,0.0,"VITAL >= 70, weak review, and AC-supported frequency signal."
alert_reduction_vs_standard_frequency_screen_percent,100.0,0,94,100.0,Reduction in action-priority calls versus a naive AF > 1e-5 frequency screen.
vital_band_blue_low_support_signal,74.0,74,500,14.8,VITAL score band count.
vital_band_gray_no_frequency_evidence,333.0,333,500,66.6,VITAL score band count.
vital_band_green_frequency_consistent,73.0,73,500,14.6,VITAL score band count.
vital_band_orange_high_tension,7.0,7,500,1.4,VITAL score band count.
vital_band_yellow_watchlist,13.0,13,500,2.6,VITAL score band count.
