metric,value,numerator,denominator,percent,note
clinvar_plp_variants_in_vital_table,3000.0,3000,3000,100.0,"All P/LP variants carried through VITAL, including explicit no-frequency-evidence rows."
exact_af_covered_clinvar_plp_variants,732.0,732,3000,24.4,Variants with observed exact gnomAD AF used for continuous VITAL scoring.
no_gnomad_frequency_evidence_variants,2187.0,2187,3000,72.9,No AF imputation is applied; these variants retain NaN frequency fields and gray VITAL band.
allele_discordance_no_exact_af_variants,0.0,0,3000,0.0,ClinVar/gnomAD allele mismatch rows kept outside frequency scoring.
gnomad_query_error_no_frequency_evidence_variants,81.0,81,3000,2.7,Transient gnomAD query failures are flagged separately and kept outside frequency scoring.
standard_popmax_or_global_af_gt_1e_5_flags,379.0,379,3000,12.633333333333333,Naive frequency-only ACMG-style contradiction screen.
standard_popmax_or_global_af_gt_1e_4_flags,80.0,80,3000,2.6666666666666665,High-frequency subset of the naive screen.
global_af_gt_1e_5_flags,105.0,105,3000,3.5,Flags found by global AF alone.
popmax_af_gt_1e_5_flags,376.0,376,3000,12.533333333333333,Flags found when population maximum AF is considered.
global_af_gt_1e_4_flags,10.0,10,3000,0.3333333333333333,High-frequency flags found by global AF alone.
popmax_af_gt_1e_4_flags,80.0,80,3000,2.6666666666666665,High-frequency flags found when population maximum AF is considered.
ac_supported_frequency_flags,87.0,87,3000,2.9,Frequency signal has AC >= 20 in global or popmax source.
vital_red_reclassification_predictions,13.0,13,3000,0.43333333333333335,"VITAL >= 70, weak review, and AC-supported frequency signal."
alert_reduction_vs_standard_frequency_screen_percent,96.56992084432717,13,379,96.56992084432717,Reduction in action-priority calls versus a naive AF > 1e-5 frequency screen.
vital_band_blue_low_support_signal,295.0,295,3000,9.833333333333334,VITAL score band count.
vital_band_gray_no_frequency_evidence,2268.0,2268,3000,75.6,VITAL score band count.
vital_band_green_frequency_consistent,353.0,353,3000,11.766666666666667,VITAL score band count.
vital_band_orange_high_tension,20.0,20,3000,0.6666666666666666,VITAL score band count.
vital_band_red_reclassification_priority,13.0,13,3000,0.43333333333333335,VITAL score band count.
vital_band_yellow_watchlist,51.0,51,3000,1.7,VITAL score band count.
