metric,value,numerator,denominator,percent,note
clinvar_plp_variants_in_vital_table,300.0,300,300,100.0,"All P/LP variants carried through the cached score table, including explicit no-frequency-evidence rows."
exact_af_covered_clinvar_plp_variants,132.0,132,300,44.0,Variants with observed exact gnomAD AF used for continuous score-based prioritization.
no_gnomad_frequency_evidence_variants,168.0,168,300,56.0,No AF imputation is applied; these variants retain NaN frequency fields and a gray no-frequency band.
allele_discordance_no_exact_af_variants,0.0,0,300,0.0,ClinVar/gnomAD allele mismatch rows kept outside frequency scoring.
gnomad_query_error_no_frequency_evidence_variants,0.0,0,300,0.0,Transient gnomAD query failures are flagged separately and kept outside frequency scoring.
standard_popmax_or_global_af_gt_1e_5_flags,80.0,80,300,26.666666666666668,Naive frequency-only ACMG-style contradiction screen.
standard_popmax_or_global_af_gt_1e_4_flags,20.0,20,300,6.666666666666667,High-frequency subset of the naive screen.
global_af_gt_1e_5_flags,24.0,24,300,8.0,Flags found by global AF alone.
popmax_af_gt_1e_5_flags,80.0,80,300,26.666666666666668,Flags found when population maximum AF is considered.
global_af_gt_1e_4_flags,3.0,3,300,1.0,High-frequency flags found by global AF alone.
popmax_af_gt_1e_4_flags,20.0,20,300,6.666666666666667,High-frequency flags found when population maximum AF is considered.
ac_supported_frequency_flags,20.0,20,300,6.666666666666667,Frequency signal has AC >= 20 in global or popmax source.
vital_red_reclassification_predictions,0.0,0,300,0.0,"Score >= 70, weak review, and AC-supported frequency signal."
alert_reduction_vs_standard_frequency_screen_percent,100.0,0,80,100.0,Reduction in action-priority calls versus a naive AF > 1e-5 frequency screen.
vital_band_blue_low_support_signal,57.0,57,300,19.0,Score band count.
vital_band_gray_no_frequency_evidence,168.0,168,300,56.0,Score band count.
vital_band_green_frequency_consistent,52.0,52,300,17.333333333333332,Score band count.
vital_band_orange_high_tension,4.0,4,300,1.3333333333333333,Score band count.
vital_band_yellow_watchlist,19.0,19,300,6.333333333333333,Score band count.
