metric,value,numerator,denominator,percent,note
clinvar_plp_variants_in_vital_table,300.0,300,300,100.0,"All P/LP variants carried through the cached score table, including explicit no-frequency-evidence rows."
exact_af_covered_clinvar_plp_variants,74.0,74,300,24.666666666666668,Variants with observed exact gnomAD AF used for continuous score-based prioritization.
no_gnomad_frequency_evidence_variants,225.0,225,300,75.0,No AF imputation is applied; these variants retain NaN frequency fields and a gray no-frequency band.
allele_discordance_no_exact_af_variants,0.0,0,300,0.0,ClinVar/gnomAD allele mismatch rows kept outside frequency scoring.
gnomad_query_error_no_frequency_evidence_variants,1.0,1,300,0.3333333333333333,Transient gnomAD query failures are flagged separately and kept outside frequency scoring.
standard_popmax_or_global_af_gt_1e_5_flags,41.0,41,300,13.666666666666666,Naive frequency-only ACMG-style contradiction screen.
standard_popmax_or_global_af_gt_1e_4_flags,6.0,6,300,2.0,High-frequency subset of the naive screen.
global_af_gt_1e_5_flags,9.0,9,300,3.0,Flags found by global AF alone.
popmax_af_gt_1e_5_flags,41.0,41,300,13.666666666666666,Flags found when population maximum AF is considered.
global_af_gt_1e_4_flags,0.0,0,300,0.0,High-frequency flags found by global AF alone.
popmax_af_gt_1e_4_flags,6.0,6,300,2.0,High-frequency flags found when population maximum AF is considered.
ac_supported_frequency_flags,5.0,5,300,1.6666666666666667,Frequency signal has AC >= 20 in global or popmax source.
vital_red_reclassification_predictions,0.0,0,300,0.0,"Score >= 70, weak review, and AC-supported frequency signal."
alert_reduction_vs_standard_frequency_screen_percent,100.0,0,41,100.0,Reduction in action-priority calls versus a naive AF > 1e-5 frequency screen.
vital_band_blue_low_support_signal,36.0,36,300,12.0,Score band count.
vital_band_gray_no_frequency_evidence,226.0,226,300,75.33333333333333,Score band count.
vital_band_green_frequency_consistent,33.0,33,300,11.0,Score band count.
vital_band_orange_high_tension,2.0,2,300,0.6666666666666666,Score band count.
vital_band_yellow_watchlist,3.0,3,300,1.0,Score band count.
