domain,target,calibration_mode,before_fix_max_flagged_count,before_fix_max_flagged_event_count,before_fix_threshold_70_flagged_count,before_fix_threshold_70_flagged_event_count,before_fix_threshold_70_enrichment_vs_overall,after_fix_max_flagged_count,after_fix_max_flagged_event_count,after_fix_threshold_70_flagged_count,after_fix_threshold_70_flagged_event_count,after_fix_threshold_70_enrichment_vs_overall,mapping_fix,interpretation
arrhythmia,broad_PLP_to_non_PLP_or_missing,red_gate_compatible,0,0,0,0,,4,1,2,1,7.384955752212389,derive weak_review from review_score<=1 or submitter_count<=1; fallback AC support from qualifying_frequency_ac>=20 when frequency_signal_ac_ge_20 is absent,The field-mapping-inconsistent run is retained as a negative-control audit artifact; the corrected run follows validator actionability-gate logic.
arrhythmia,expanded_PLP_to_non_PLP_or_review_change,red_gate_compatible,0,0,0,0,,4,4,2,2,3.854503464203233,derive weak_review from review_score<=1 or submitter_count<=1; fallback AC support from qualifying_frequency_ac>=20 when frequency_signal_ac_ge_20 is absent,The field-mapping-inconsistent run is retained as a negative-control audit artifact; the corrected run follows validator actionability-gate logic.
arrhythmia,strict_PLP_to_BLB_or_VUS,red_gate_compatible,0,0,0,0,,4,0,2,0,0.0,derive weak_review from review_score<=1 or submitter_count<=1; fallback AC support from qualifying_frequency_ac>=20 when frequency_signal_ac_ge_20 is absent,The field-mapping-inconsistent run is retained as a negative-control audit artifact; the corrected run follows validator actionability-gate logic.
cardiomyopathy,broad_PLP_to_non_PLP_or_missing,red_gate_compatible,0,0,0,0,,0,0,0,0,,derive weak_review from review_score<=1 or submitter_count<=1; fallback AC support from qualifying_frequency_ac>=20 when frequency_signal_ac_ge_20 is absent,The field-mapping-inconsistent run is retained as a negative-control audit artifact; the corrected run follows validator actionability-gate logic.
cardiomyopathy,expanded_PLP_to_non_PLP_or_review_change,red_gate_compatible,0,0,0,0,,0,0,0,0,,derive weak_review from review_score<=1 or submitter_count<=1; fallback AC support from qualifying_frequency_ac>=20 when frequency_signal_ac_ge_20 is absent,The field-mapping-inconsistent run is retained as a negative-control audit artifact; the corrected run follows validator actionability-gate logic.
cardiomyopathy,strict_PLP_to_BLB_or_VUS,red_gate_compatible,0,0,0,0,,0,0,0,0,,derive weak_review from review_score<=1 or submitter_count<=1; fallback AC support from qualifying_frequency_ac>=20 when frequency_signal_ac_ge_20 is absent,The field-mapping-inconsistent run is retained as a negative-control audit artifact; the corrected run follows validator actionability-gate logic.
combined_or_single_table,broad_PLP_to_non_PLP_or_missing,red_gate_compatible,0,0,0,0,,15,4,4,2,8.801724137931034,derive weak_review from review_score<=1 or submitter_count<=1; fallback AC support from qualifying_frequency_ac>=20 when frequency_signal_ac_ge_20 is absent,The field-mapping-inconsistent run is retained as a negative-control audit artifact; the corrected run follows validator actionability-gate logic.
combined_or_single_table,expanded_PLP_to_non_PLP_or_review_change,red_gate_compatible,0,0,0,0,,15,10,4,3,2.8083740831295843,derive weak_review from review_score<=1 or submitter_count<=1; fallback AC support from qualifying_frequency_ac>=20 when frequency_signal_ac_ge_20 is absent,The field-mapping-inconsistent run is retained as a negative-control audit artifact; the corrected run follows validator actionability-gate logic.
combined_or_single_table,strict_PLP_to_BLB_or_VUS,red_gate_compatible,0,0,0,0,,15,1,4,0,0.0,derive weak_review from review_score<=1 or submitter_count<=1; fallback AC support from qualifying_frequency_ac>=20 when frequency_signal_ac_ge_20 is absent,The field-mapping-inconsistent run is retained as a negative-control audit artifact; the corrected run follows validator actionability-gate logic.
epilepsy,broad_PLP_to_non_PLP_or_missing,red_gate_compatible,0,0,0,0,,0,0,0,0,,derive weak_review from review_score<=1 or submitter_count<=1; fallback AC support from qualifying_frequency_ac>=20 when frequency_signal_ac_ge_20 is absent,The field-mapping-inconsistent run is retained as a negative-control audit artifact; the corrected run follows validator actionability-gate logic.
